   	      	                         fitness                          	              size             
   	      	----------------------------------------------------------	-------------------------------
gen	time  	avg      	max         	min         	std       	avg        	std            
78 	5.84  	[0.5063] 	[0.51491175]	[0.44836066]	[0.01544] 	10.0       	0.0            
79 	6.42  	[0.5073] 	[0.51522533]	[0.4034632] 	[0.02254] 	10.0       	0.0            
80 	6.26  	[0.5127] 	[0.51522533]	[0.46851607]	[0.00922] 	10.0       	0.0            
81 	5.66  	[0.5044] 	[0.51584835]	[0.4034135] 	[0.03]    	10.0       	0.0            
82 	5.97  	[0.5063] 	[0.51522533]	[0.4034135] 	[0.02289] 	10.0       	0.0            
83 	6.24  	[0.5137] 	[0.51522533]	[0.50268657]	[0.003637]	10.0       	0.0            
84 	6.15  	[0.4993] 	[0.51522533]	[0.19328494]	[0.0628]  	10.0       	0.0            
85 	6.03  	[0.5073] 	[0.51522533]	[0.44008351]	[0.01709] 	10.0       	0.0            
86 	6.3   	[0.5117] 	[0.51522533]	[0.48680352]	[0.006752]	10.0       	0.0            
87 	6.22  	[0.503]  	[0.51522533]	[0.32658165]	[0.03787] 	10.0       	0.0            
88 	6.26  	[0.5083] 	[0.51522533]	[0.48053691]	[0.011475]	10.0       	0.0            
89 	6.21  	[0.5005] 	[0.51522533]	[0.25327035]	[0.05115] 	10.0       	0.0            
90 	5.79  	[0.507]  	[0.51522533]	[0.47540984]	[0.01205] 	10.0       	0.0            
91 	6.32  	[0.5063] 	[0.51522533]	[0.47384306]	[0.014]   	10.0       	0.0            
92 	6.32  	[0.51]   	[0.51522533]	[0.48173005]	[0.00925] 	10.0       	0.0            
93 	6.12  	[0.4912] 	[0.51522533]	[0.202387]  	[0.0632]  	10.0       	0.0            
94 	6.64  	[0.4966] 	[0.51522533]	[0.21527873]	[0.05838] 	10.0       	0.0            
95 	6.09  	[0.5073] 	[0.51522533]	[0.45065789]	[0.01509] 	10.0       	0.0            
96 	6.02  	[0.472]  	[0.51522533]	[0.00232019]	[0.104]   	9.7578125  	1.17578125     
97 	6.68  	[0.4902] 	[0.51522533]	[0.20219614]	[0.06082] 	10.0       	0.0            
98 	6.4   	[0.509]  	[0.51553931]	[0.48463476]	[0.010056]	10.0       	0.0            
99 	6.03  	[0.504]  	[0.51553931]	[0.33859554]	[0.0349]  	10.0       	0.0            
