[START] Pre-training step:
>> Epoch 122 finished 	RBM Reconstruction error 0.466638
>> Epoch 123 finished 	RBM Reconstruction error 0.429130
>> Epoch 124 finished 	RBM Reconstruction error 0.441277
>> Epoch 125 finished 	RBM Reconstruction error 0.439091
>> Epoch 126 finished 	RBM Reconstruction error 0.442741
>> Epoch 127 finished 	RBM Reconstruction error 0.431772
>> Epoch 128 finished 	RBM Reconstruction error 0.442170
>> Epoch 129 finished 	RBM Reconstruction error 0.429284
>> Epoch 130 finished 	RBM Reconstruction error 0.450650
>> Epoch 131 finished 	RBM Reconstruction error 0.426313
>> Epoch 132 finished 	RBM Reconstruction error 0.426899
>> Epoch 133 finished 	RBM Reconstruction error 0.414298
>> Epoch 134 finished 	RBM Reconstruction error 0.434749
>> Epoch 135 finished 	RBM Reconstruction error 0.429472
>> Epoch 136 finished 	RBM Reconstruction error 0.429372
>> Epoch 137 finished 	RBM Reconstruction error 0.429986
>> Epoch 138 finished 	RBM Reconstruction error 0.423279
>> Epoch 139 finished 	RBM Reconstruction error 0.436129
>> Epoch 140 finished 	RBM Reconstruction error 0.443053
>> Epoch 141 finished 	RBM Reconstruction error 0.443508
>> Epoch 142 finished 	RBM Reconstruction error 0.428692
>> Epoch 143 finished 	RBM Reconstruction error 0.427560
>> Epoch 144 finished 	RBM Reconstruction error 0.429933
>> Epoch 145 finished 	RBM Reconstruction error 0.433529
>> Epoch 146 finished 	RBM Reconstruction error 0.432132
>> Epoch 147 finished 	RBM Reconstruction error 0.419739
>> Epoch 148 finished 	RBM Reconstruction error 0.450427
>> Epoch 149 finished 	RBM Reconstruction error 0.436475
>> Epoch 150 finished 	RBM Reconstruction error 0.420482
>> Epoch 151 finished 	RBM Reconstruction error 0.430238
>> Epoch 152 finished 	RBM Reconstruction error 0.447383
>> Epoch 153 finished 	RBM Reconstruction error 0.419729
>> Epoch 154 finished 	RBM Reconstruction error 0.433993
>> Epoch 155 finished 	RBM Reconstruction error 0.430124
>> Epoch 156 finished 	RBM Reconstruction error 0.423244
>> Epoch 157 finished 	RBM Reconstruction error 0.427581
>> Epoch 158 finished 	RBM Reconstruction error 0.417265
>> Epoch 159 finished 	RBM Reconstruction error 0.417046
>> Epoch 160 finished 	RBM Reconstruction error 0.426590
>> Epoch 161 finished 	RBM Reconstruction error 0.437563
>> Epoch 162 finished 	RBM Reconstruction error 0.431046
>> Epoch 163 finished 	RBM Reconstruction error 0.411604
>> Epoch 164 finished 	RBM Reconstruction error 0.425135
>> Epoch 165 finished 	RBM Reconstruction error 0.415890
>> Epoch 166 finished 	RBM Reconstruction error 0.420571
>> Epoch 167 finished 	RBM Reconstruction error 0.418100
>> Epoch 168 finished 	RBM Reconstruction error 0.430327
>> Epoch 169 finished 	RBM Reconstruction error 0.408306
>> Epoch 170 finished 	RBM Reconstruction error 0.418212
>> Epoch 171 finished 	RBM Reconstruction error 0.412361
>> Epoch 172 finished 	RBM Reconstruction error 0.413775
>> Epoch 173 finished 	RBM Reconstruction error 0.421861
>> Epoch 174 finished 	RBM Reconstruction error 0.421510
>> Epoch 175 finished 	RBM Reconstruction error 0.418962
>> Epoch 176 finished 	RBM Reconstruction error 0.423952
>> Epoch 177 finished 	RBM Reconstruction error 0.419419
>> Epoch 178 finished 	RBM Reconstruction error 0.411509
>> Epoch 179 finished 	RBM Reconstruction error 0.432103
>> Epoch 180 finished 	RBM Reconstruction error 0.427784
>> Epoch 181 finished 	RBM Reconstruction error 0.433733
>> Epoch 182 finished 	RBM Reconstruction error 0.423649
>> Epoch 183 finished 	RBM Reconstruction error 0.424761
>> Epoch 184 finished 	RBM Reconstruction error 0.425140
>> Epoch 185 finished 	RBM Reconstruction error 0.470117
>> Epoch 186 finished 	RBM Reconstruction error 0.424218
>> Epoch 187 finished 	RBM Reconstruction error 0.421348
>> Epoch 188 finished 	RBM Reconstruction error 0.419282
>> Epoch 189 finished 	RBM Reconstruction error 0.417573
>> Epoch 190 finished 	RBM Reconstruction error 0.422932
>> Epoch 191 finished 	RBM Reconstruction error 0.416653
>> Epoch 192 finished 	RBM Reconstruction error 0.421473
>> Epoch 193 finished 	RBM Reconstruction error 0.407311
>> Epoch 194 finished 	RBM Reconstruction error 0.425202
>> Epoch 195 finished 	RBM Reconstruction error 0.427268
>> Epoch 196 finished 	RBM Reconstruction error 0.423234
>> Epoch 197 finished 	RBM Reconstruction error 0.429024
>> Epoch 198 finished 	RBM Reconstruction error 0.432661
>> Epoch 199 finished 	RBM Reconstruction error 0.428818
>> Epoch 200 finished 	RBM Reconstruction error 0.423448
>> Epoch 201 finished 	RBM Reconstruction error 0.411967
>> Epoch 202 finished 	RBM Reconstruction error 0.420096
>> Epoch 203 finished 	RBM Reconstruction error 0.411263
>> Epoch 204 finished 	RBM Reconstruction error 0.422722
>> Epoch 205 finished 	RBM Reconstruction error 0.436330
>> Epoch 206 finished 	RBM Reconstruction error 0.430998
>> Epoch 207 finished 	RBM Reconstruction error 0.421903
>> Epoch 208 finished 	RBM Reconstruction error 0.425048
>> Epoch 209 finished 	RBM Reconstruction error 0.412007
>> Epoch 210 finished 	RBM Reconstruction error 0.443244
>> Epoch 211 finished 	RBM Reconstruction error 0.413608
>> Epoch 212 finished 	RBM Reconstruction error 0.406242
>> Epoch 213 finished 	RBM Reconstruction error 0.417069
>> Epoch 214 finished 	RBM Reconstruction error 0.416911
>> Epoch 215 finished 	RBM Reconstruction error 0.416185
>> Epoch 216 finished 	RBM Reconstruction error 0.413645
>> Epoch 217 finished 	RBM Reconstruction error 0.412298
>> Epoch 218 finished 	RBM Reconstruction error 0.410639
>> Epoch 219 finished 	RBM Reconstruction error 0.402451
>> Epoch 220 finished 	RBM Reconstruction error 0.425510
>> Epoch 221 finished 	RBM Reconstruction error 0.403150
>> Epoch 222 finished 	RBM Reconstruction error 0.418424
>> Epoch 223 finished 	RBM Reconstruction error 0.405010
>> Epoch 224 finished 	RBM Reconstruction error 0.427194
>> Epoch 225 finished 	RBM Reconstruction error 0.404174
>> Epoch 226 finished 	RBM Reconstruction error 0.411942
>> Epoch 227 finished 	RBM Reconstruction error 0.410523
>> Epoch 228 finished 	RBM Reconstruction error 0.408783
>> Epoch 229 finished 	RBM Reconstruction error 0.416768
>> Epoch 230 finished 	RBM Reconstruction error 0.415647
>> Epoch 231 finished 	RBM Reconstruction error 0.430098
>> Epoch 232 finished 	RBM Reconstruction error 0.411296
>> Epoch 233 finished 	RBM Reconstruction error 0.413320
>> Epoch 234 finished 	RBM Reconstruction error 0.410385
>> Epoch 235 finished 	RBM Reconstruction error 0.427327
>> Epoch 236 finished 	RBM Reconstruction error 0.419589
>> Epoch 237 finished 	RBM Reconstruction error 0.419415
>> Epoch 238 finished 	RBM Reconstruction error 0.412870
>> Epoch 239 finished 	RBM Reconstruction error 0.440844
>> Epoch 240 finished 	RBM Reconstruction error 0.421853
>> Epoch 241 finished 	RBM Reconstruction error 0.406983
>> Epoch 242 finished 	RBM Reconstruction error 0.414595
>> Epoch 243 finished 	RBM Reconstruction error 0.408485
>> Epoch 244 finished 	RBM Reconstruction error 0.447915
>> Epoch 245 finished 	RBM Reconstruction error 0.409829
>> Epoch 246 finished 	RBM Reconstruction error 0.421650
>> Epoch 247 finished 	RBM Reconstruction error 0.403309
>> Epoch 248 finished 	RBM Reconstruction error 0.401042
>> Epoch 249 finished 	RBM Reconstruction error 0.400352
>> Epoch 250 finished 	RBM Reconstruction error 0.406415
>> Epoch 251 finished 	RBM Reconstruction error 0.412887
>> Epoch 252 finished 	RBM Reconstruction error 0.404352
>> Epoch 253 finished 	RBM Reconstruction error 0.405741
>> Epoch 254 finished 	RBM Reconstruction error 0.409602
>> Epoch 255 finished 	RBM Reconstruction error 0.418443
>> Epoch 256 finished 	RBM Reconstruction error 0.405726
>> Epoch 257 finished 	RBM Reconstruction error 0.405244
>> Epoch 258 finished 	RBM Reconstruction error 0.409290
>> Epoch 259 finished 	RBM Reconstruction error 0.408347
>> Epoch 260 finished 	RBM Reconstruction error 0.410782
>> Epoch 261 finished 	RBM Reconstruction error 0.424705
>> Epoch 262 finished 	RBM Reconstruction error 0.414623
>> Epoch 263 finished 	RBM Reconstruction error 0.395122
>> Epoch 264 finished 	RBM Reconstruction error 0.405405
>> Epoch 265 finished 	RBM Reconstruction error 0.397724
>> Epoch 266 finished 	RBM Reconstruction error 0.404611
>> Epoch 267 finished 	RBM Reconstruction error 0.407755
>> Epoch 268 finished 	RBM Reconstruction error 0.401804
>> Epoch 269 finished 	RBM Reconstruction error 0.410594
>> Epoch 270 finished 	RBM Reconstruction error 0.412408
>> Epoch 271 finished 	RBM Reconstruction error 0.399010
>> Epoch 272 finished 	RBM Reconstruction error 0.398003
>> Epoch 273 finished 	RBM Reconstruction error 0.418292
>> Epoch 274 finished 	RBM Reconstruction error 0.410107
>> Epoch 275 finished 	RBM Reconstruction error 0.408890
>> Epoch 276 finished 	RBM Reconstruction error 0.396344
>> Epoch 277 finished 	RBM Reconstruction error 0.404811
>> Epoch 278 finished 	RBM Reconstruction error 0.398707
>> Epoch 279 finished 	RBM Reconstruction error 0.408464
>> Epoch 280 finished 	RBM Reconstruction error 0.420545
>> Epoch 281 finished 	RBM Reconstruction error 0.417312
>> Epoch 282 finished 	RBM Reconstruction error 0.393217
>> Epoch 283 finished 	RBM Reconstruction error 0.395132
>> Epoch 284 finished 	RBM Reconstruction error 0.399270
>> Epoch 285 finished 	RBM Reconstruction error 0.394754
>> Epoch 286 finished 	RBM Reconstruction error 0.414535
>> Epoch 287 finished 	RBM Reconstruction error 0.400931
>> Epoch 288 finished 	RBM Reconstruction error 0.405184
>> Epoch 289 finished 	RBM Reconstruction error 0.412232
>> Epoch 290 finished 	RBM Reconstruction error 0.405591
>> Epoch 291 finished 	RBM Reconstruction error 0.400478
>> Epoch 292 finished 	RBM Reconstruction error 0.412942
>> Epoch 293 finished 	RBM Reconstruction error 0.409492
>> Epoch 294 finished 	RBM Reconstruction error 0.389635
>> Epoch 295 finished 	RBM Reconstruction error 0.406338
>> Epoch 296 finished 	RBM Reconstruction error 0.389479
>> Epoch 297 finished 	RBM Reconstruction error 0.390159
>> Epoch 298 finished 	RBM Reconstruction error 0.397324
>> Epoch 299 finished 	RBM Reconstruction error 0.387447
>> Epoch 300 finished 	RBM Reconstruction error 0.385189
>> Epoch 301 finished 	RBM Reconstruction error 0.417331
>> Epoch 302 finished 	RBM Reconstruction error 0.390201
>> Epoch 303 finished 	RBM Reconstruction error 0.414902
>> Epoch 304 finished 	RBM Reconstruction error 0.393986
>> Epoch 305 finished 	RBM Reconstruction error 0.391396
>> Epoch 306 finished 	RBM Reconstruction error 0.394292
>> Epoch 307 finished 	RBM Reconstruction error 0.425456
>> Epoch 308 finished 	RBM Reconstruction error 0.400153
>> Epoch 309 finished 	RBM Reconstruction error 0.400293
>> Epoch 310 finished 	RBM Reconstruction error 0.399349
>> Epoch 311 finished 	RBM Reconstruction error 0.398393
>> Epoch 312 finished 	RBM Reconstruction error 0.394670
>> Epoch 313 finished 	RBM Reconstruction error 0.402960
>> Epoch 314 finished 	RBM Reconstruction error 0.390614
