balance,DEEP MAX,classifier,P1,P2,#Exec,PPV_S,PPV_NS,TPR_S,TPR_NS,F1_S,F1_NS,SUP_S,SUP_NS,TN,FP,FN,TP,Acc,AUC,Deep,Training Time
0,10,nb,5,-,6,0.287037037037,0.977366255144,0.584905660377,0.925024342746,0.385093167702,0.950475237619,106,2054,1900,154,44,62,0.908333333333,0.754965001562,10,13404.59969496727
0,10,nb,5,-,2,0.283720930233,0.972750642674,0.535087719298,0.924731182796,0.370820668693,0.948133299925,114,2046,1892,154,53,61,0.904166666667,0.729909451047,10,12962.317693948746
0,10,svm,5,-,1,1.0,0.9503249767873724,0.05309734513274336,1.0,0.10084033613445377,0.974529873839562,113,2047,2047,0,107,6,0.950462962962963,0.5265486725663717,10,25401.420092344284
0,10,nb,5,-,7,0.341085271318,0.968980797637,0.411214953271,0.958597174866,0.372881355932,0.963761018609,107,2053,1968,85,63,44,0.931481481481,0.684906064069,10,13259.484294652939
0,10,nb,5,-,8,0.299065420561,0.97430626927,0.561403508772,0.926686217009,0.390243902439,0.949899799599,114,2046,1896,150,50,64,0.907407407407,0.74404486289,10,11001.945318460464
0,10,svm,5,-,6,1.0,0.9544821179749187,0.06666666666666667,1.0,0.125,0.9767110266159695,105,2055,2055,0,98,7,0.9546296296296296,0.5333333333333333,10,38745.39823484421
0,10,nb,5,-,3,0.335365853659,0.971442885772,0.491071428571,0.94677734375,0.398550724638,0.958951533136,112,2048,1939,109,57,55,0.923148148148,0.718924386161,10,17451.58388400078
0,10,nb,5,-,9,0.307692307692,0.972375690608,0.485981308411,0.943010228933,0.376811594203,0.95746785361,107,2053,1936,117,55,52,0.92037037037,0.714495768672,10,7919.561544179916
0,10,svm,5,-,2,1.0,0.9521819870009285,0.05504587155963303,1.0,0.10434782608695652,0.9755053507728894,109,2051,2051,0,103,6,0.9523148148148148,0.5275229357798166,10,24728.098640441895
0,10,nb,5,-,4,0.307692307692,0.972375690608,0.485981308411,0.943010228933,0.376811594203,0.95746785361,107,2053,1936,117,55,52,0.92037037037,0.714495768672,10,8448.354307174683
0,10,nb,5,-,10,0.331395348837,0.974346076459,0.527777777778,0.94395711501,0.407142857143,0.958910891089,108,2052,1937,115,51,57,0.923148148148,0.735867446394,10,16888.733446121216
0,10,nb,5,-,5,0.331395348837,0.974346076459,0.527777777778,0.94395711501,0.407142857143,0.958910891089,108,2052,1937,115,51,57,0.923148148148,0.735867446394,10,23554.954944610596
0,10,mlp,15,relu,6,0.157303370787,0.969512195122,0.504504504505,0.853587115666,0.23982869379,0.907864002076,111,2049,1749,300,55,56,0.835648148148,0.679045810085,10,75968.7248969078
0,10,svm,5,-,3,0.875,0.9526022304832714,0.06422018348623854,0.999512432959532,0.11965811965811966,0.9754936949797764,109,2051,2050,1,102,7,0.9523148148148148,0.5318663082228853,10,29209.045097589493
0,10,svm,5,-,7,1.0,0.9521597770552717,0.06363636363636363,1.0,0.11965811965811964,0.9754936949797763,110,2050,2050,0,103,7,0.9523148148148148,0.5318181818181819,10,43535.208251953125
0,10,mlp,15,relu,1,0.225806451613,0.953029591357,0.0654205607477,0.98830979055,0.101449275362,0.970349115256,107,2053,2029,24,100,7,0.942592592593,0.526865175649,10,83960.29096674919
0,10,svm,5,-,4,0.7,0.9530232558139535,0.06481481481481481,0.9985380116959064,0.11864406779661017,0.9752498810090433,108,2052,2049,3,101,7,0.9518518518518518,0.5316764132553606,9,43120.58535385132
0,10,svm,5,-,8,0.6666666666666666,0.9516503951650395,0.05454545454545454,0.9985365853658537,0.10084033613445378,0.974529873839562,110,2050,2047,3,104,6,0.950462962962963,0.526541019955654,10,45311.39850616455
