balance,DEEP MAX,classifier,P1,P2,#Exec,PPV_S,PPV_NS,TPR_S,TPR_NS,F1_S,F1_NS,SUP_S,SUP_NS,TN,FP,FN,TP,Acc,AUC,Deep,Training Time
1,10,nb,5,-,6,0.16043567853988813,0.9748349098697127,0.7944606413994169,0.6569641568438778,0.26696056820964975,0.7849392828914278,1372,16628,10924,5704,282,1090,0.6674444444444444,0.7257123991216473,10,47416.865975141525
1,10,mlp,15,relu,4,0.162103746398,0.977667269439,0.819970845481,0.650288669714,0.270692974013,0.781060387171,1372,16628,10813,5815,247,1125,0.663222222222,0.735129757597,10,238764.386687994
1,10,dt,5,-,3,0.15308835027365128,0.9661352865144335,0.7135568513119533,0.6742843396680298,0.25209218488476887,0.7942478659724437,1372,16628,11212,5416,393,979,0.6772777777777778,0.6939205954899916,10,50057.99587607384
1,10,mlp,15,relu,6,0.177720302974,0.967426710098,0.701166180758,0.732318980034,0.283566691231,0.833612870101,1372,16628,12177,4451,410,962,0.729944444444,0.716742580396,10,258933.44971203804
1,10,svm,5,rbf,6,0.17053310800430174,0.9771995474719346,0.8090379008746356,0.6753067115708443,0.28169014084507044,0.7986770511042355,1372,16628,11229,5399,262,1110,0.6855,0.74217230622274,10,263446.91661787033
1,10,mlp,15,relu,9,0.152792841649,0.976939006024,0.821428571429,0.62418811643,0.257658893461,0.761705562894,1372,16628,10379,6249,245,1127,0.639222222222,0.722808343929,10,268796.53126597404
1,10,nb,5,-,7,0.16025451316957678,0.974292830457214,0.7893586005830904,0.658708203031032,0.26642066420664207,0.7860064585575888,1372,16628,10953,5675,289,1083,0.6686666666666666,0.7240334018070613,10,60725.16461396217
0,10,knn,5,-,1,0.2703180212014134,0.9368034147498221,0.2230320699708455,0.9503247534279529,0.24440894568690094,0.9435156436589442,1372,16628,15802,826,1066,306,0.8948888888888888,0.5866784116993992,10,282220.0690100193
1,10,dt,5,-,4,0.15986733001658374,0.9659147869674185,0.7026239067055393,0.6953331729612702,0.2604701432045393,0.8085880131477726,1372,16628,11562,5066,408,964,0.6958888888888889,0.6989785398334047,10,70311.11227869987
1,10,nb,5,-,8,0.16183610416360159,0.9757207890743551,0.8017492711370262,0.6573851335097426,0.26931080915656747,0.7855269304013511,1372,16628,10931,5697,272,1100,0.6683888888888889,0.7295672023233845,10,35707.15988612175
1,10,nb,5,-,9,0.1661485856387939,0.9738025246411897,0.7791545189504373,0.6773514553764735,0.2738918780425314,0.798964318649358,1372,16628,11263,5365,303,1069,0.6851111111111111,0.7282529871634554,10,70308.023188591
1,10,dt,5,-,5,0.1510148439866707,0.9670994911387962,0.7266763848396501,0.6629179696896801,0.25006270378730877,0.786626703775066,1372,16628,11023,5605,375,997,0.6677777777777778,0.6947971772646653,10,85261.89663934708
1,10,svm,5,rbf,2,0.16702257474069554,0.9757951765117092,0.7981049562682215,0.6715780611017561,0.2762361251261352,0.7955970361926475,1372,16628,11167,5461,277,1095,0.6812222222222222,0.7348415086849888,10,225678.36171483994
1,10,nb,5,-,10,0.1555587067498582,0.9748812568505664,0.7995626822157434,0.6418691363964397,0.2604463437796771,0.7740789091964027,1372,16628,10673,5955,275,1097,0.6538888888888889,0.7207159093060915,10,48350.97388100624
1,10,mlp,15,relu,10,0.168076797917,0.971402058377,0.752915451895,0.692506615348,0.274807129556,0.808580858086,1372,16628,11515,5113,339,1033,0.697111111111,0.722711033621,10,189293.22344446182
